feature,source_family,transform_type,identity_proxy,development_nonmissing_rows,development_coverage,development_unique_nonmissing,development_standard_deviation,development_transitions_with_data,minimum_required_rows,minimum_required_transitions,target_blind_keep
demographic__אחוז_בני_0_17_באוכלוסייה_בסוף_2006__level,demographic,level,False,196,0.02074952360787635,190,9.616913465604176,1,150,2,False
demographic__אחוז_בני_75_ומעלה_באוכלוסייה_בסוף_2006__level,demographic,level,False,196,0.02074952360787635,161,2.382540256048198,1,150,2,False
demographic__לידות_חי_2006__level,demographic,level,False,196,0.02074952360787635,175,1622.5767010805957,1,150,2,False
demographic__פטירות_2006__level,demographic,level,False,196,0.02074952360787635,114,453.95253856948386,1,150,2,False
demographic__ריבוי_טבעי_סה_כ_2006__level,demographic,level,False,196,0.02074952360787635,167,1281.949821041462,1,150,2,False
demographic__ריבוי_טבעי_לאלף_תושבים_2005_2006__level,demographic,level,False,196,0.02074952360787635,191,10.110850661875604,1,150,2,False
demographic__מאזן_הגירה_סה_כ_2006__level,demographic,level,False,195,0.020643658691509633,155,544.7343515624276,1,150,2,False
demographic__אחוז_עולי_1990_מסך_האוכלוסייה_2006__level,demographic,level,False,119,0.012597925047639213,98,11.534457026808422,1,150,2,False
demographic__אחוז_גידול_האוכלוסייה_בשנת_2006_לעומת_2005__level,demographic,level,False,192,0.020326063942409486,69,2.121412830514009,1,150,2,False
demographic__פטירות_תינוקות_ממוצע_2002_2006__level,demographic,level,False,146,0.015456277789540547,16,8.154220284942111,1,150,2,False
demographic__השתקעות_ראשונה_של_עולים_2006__level,demographic,level,False,113,0.011962735549438917,82,397.1696187629008,1,150,2,False
demographic__אחוז_עולים_בני_0_17_בהשתקעות_ראשונה_2006__level,demographic,level,False,107,0.01132754605123862,85,20.0141544428895,1,150,2,False
demographic__אחוז_עולים_בני_18_44_בהשתקעות_ראשונה_2006__level,demographic,level,False,102,0.01079822146940504,80,14.665393061219666,1,150,2,False
demographic__אחוז_עולים_בני_45_64_בהשתקעות_ראשונה_2006__level,demographic,level,False,93,0.009845437222104594,72,12.872222395410764,1,150,2,False
demographic__אחוז_עולים_בני_65_ומעלה_בהשתקעות_ראשונה_2006__level,demographic,level,False,88,0.009316112640271015,65,10.509589341623753,1,150,2,False
demographic__סה_כ_גברים_בסוף_2009_אלפים__level,demographic,level,False,196,0.02074952360787635,126,36.141575427185984,1,150,2,False
demographic__סה_כ_נשים_בסוף_2009_אלפים__level,demographic,level,False,196,0.02074952360787635,132,37.4219957873372,1,150,2,False
demographic__יחס_תלות_לאלף_תושבים_בלתי_תלויים_2009__level,demographic,level,False,196,0.02074952360787635,165,283.66032985166277,1,150,2,False
demographic__אחוז_בני_4_0_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,89,3.527644730086338,1,150,2,False
demographic__אחוז_בני_9_5_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,90,3.2561421250402347,1,150,2,False
demographic__אחוז_בני_14_10_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,83,2.461690303892084,1,150,2,False
demographic__אחוז_בני_19_15_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,70,2.040402736741076,1,150,2,False
demographic__אחוז_בני_29_20_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,91,2.7110087699041334,1,150,2,False
demographic__אחוז_בני_44_30_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,94,2.877196792274673,1,150,2,False
demographic__אחוז_בני_59_45_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,109,4.302966101242936,1,150,2,False
demographic__אחוז_בני_64_60_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,63,1.8565687334601289,1,150,2,False
demographic__אחוז_בני_65_ומעלה_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,102,4.38158564661812,1,150,2,False
demographic__אחוז_בני_17_0_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,148,9.462354561426762,1,150,2,False
demographic__אחוז_בני_75_ומעלה_באוכלוסייה_בסוף_2009__level,demographic,level,False,196,0.02074952360787635,68,2.428602240700896,1,150,2,False
demographic__לידות_חי_2009__level,demographic,level,False,196,0.02074952360787635,174,1808.4503619227312,1,150,2,False
demographic__פטירות_2009__level,demographic,level,False,196,0.02074952360787635,115,444.8726373927542,1,150,2,False
demographic__ריבוי_טבעי_סה_כ_2009__level,demographic,level,False,196,0.02074952360787635,171,1460.5077639366045,1,150,2,False
demographic__ריבוי_טבעי_לאלף_תושבים_2009_2008__level,demographic,level,False,196,0.02074952360787635,150,9.291429221915823,1,150,2,False
demographic__מאזן_הגירה_סה_כ_2009__level,demographic,level,False,196,0.02074952360787635,161,607.0412212280279,1,150,2,False
demographic__אחוז_עולי_1990_מסך_האוכלוסייה_2009__level,demographic,level,False,120,0.012703789964005929,95,10.541316736699327,1,150,2,False
demographic__אחוז_גידול_האוכלוסייה_שנת_2009_לעומת_2008__level,demographic,level,False,196,0.02074952360787635,67,2.000609274019943,1,150,2,False
demographic__פטירות_תינוקות_ממוצע_2009_2005__level,demographic,level,False,196,0.02074952360787635,17,6.88396007627612,1,150,2,False
demographic__השתקעות_ראשונה_של_עולים_2009__level,demographic,level,False,148,0.01566800762227398,77,305.5412219584568,1,150,2,False
demographic__אחוז_עולים_בני_17_0_בהשתקעות_ראשונה_2009__level,demographic,level,False,136,0.014397628625873385,79,27.115518392437792,1,150,2,False
demographic__אחוז_עולים_בני_44_18_בהשתקעות_ראשונה_2009__level,demographic,level,False,113,0.011962735549438917,73,17.195021403358208,1,150,2,False
demographic__אחוז_עולים_בני_64_45_בהשתקעות_ראשונה_2009__level,demographic,level,False,95,0.010057167054838027,70,18.585698242770775,1,150,2,False
demographic__אחוז_עולים_בני_65_ומעלה_בהשתקעות_ראשונה_2009__level,demographic,level,False,94,0.009951302138471311,62,10.672522325310915,1,150,2,False
demographic__סה_כ_גברים_בסוף_2013_אלפים__level,demographic,level,False,200,0.021172983273343216,132,38.09814191119332,1,150,2,False
demographic__סה_כ_נשים_בסוף_2013_אלפים__level,demographic,level,False,200,0.021172983273343216,138,39.16306995103868,1,150,2,False
demographic__יחס_תלות_לאלף_תושבים_בלתי_תלויים_2013__level,demographic,level,False,200,0.021172983273343216,163,249.85097447725957,1,150,2,False
demographic__אחוז_בני_4_0_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,156,3.2265868017840824,1,150,2,False
demographic__אחוז_בני_9_5_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,153,2.6251376029978615,1,150,2,False
demographic__אחוז_בני_14_10_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,161,2.5119727597505204,1,150,2,False
demographic__אחוז_בני_19_15_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,179,2.0984266605599413,1,150,2,False
demographic__אחוז_בני_29_20_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,178,2.4744395842859865,1,150,2,False
demographic__אחוז_בני_44_30_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,180,2.7043540321407233,1,150,2,False
demographic__אחוז_בני_59_45_באוכלוסייה_בסוף_2013__level,demographic,level,False,200,0.021172983273343216,182,3.5885473464605337,1,150,2,False
