transition_id,bloc,rows,mean_delta_pct,median_delta_pct,mean_absolute_delta_pct,standard_deviation_pct,minimum_delta_pct,maximum_delta_pct
K16_to_K17,Arab,1139,0.19129571263148373,0.0,1.1726653060778,3.937374274539031,-45.938976057332106,43.87411828540423
K16_to_K17,Center_Left,1139,17.594626745946417,15.622315656223165,18.078802226482793,14.15395056274145,-22.87671232876712,68.9944211994421
K16_to_K17,Haredi,1139,0.5091064370727799,0.13422770617770463,2.3187313194138826,4.457505774270176,-24.0,42.5531914893617
K16_to_K17,Right,1139,-18.295028895650677,-15.650623885918002,18.49078525461165,14.774952859925532,-89.53488372093024,12.304815334268355
K17_to_K18,Arab,1140,1.6911618695581463,0.0,2.0822083276871606,6.359339820219694,-20.28985507246378,50.77756892230577
K17_to_K18,Center_Left,1140,-8.969649232609761,-8.121644368123896,9.221696759192653,7.8371979362317905,-62.16661672160623,20.0
K17_to_K18,Haredi,1140,-0.9469148035677334,-0.3058483862903863,2.2244143667797878,3.8756203605925994,-20.0,26.41509433962264
K17_to_K18,Right,1140,8.225402166619348,7.365931297921225,8.556438103130525,7.223834888185226,-12.86486486486487,58.9751273599041
K18_to_K19,Arab,1155,-0.8207118110801198,0.0,1.5626042845535337,5.096565943587006,-58.76386843397153,28.29332248831835
K18_to_K19,Center_Left,1155,-5.7529640201667505,-4.032620663056981,7.44438921793273,9.600000896549835,-60.37414965986395,58.539518900343644
K18_to_K19,Haredi,1155,1.8689240033197594,1.3929355820185778,3.1139873692144513,5.227521336108253,-50.12175324675325,50.56179775280899
K18_to_K19,Right,1155,4.70475182792711,2.6685393258426977,6.061202850395373,8.530159781878895,-29.365079365079367,80.88888888888889
K19_to_K20,Arab,1183,0.6478180524664624,-0.004565584623111019,1.5993043329045118,5.130365968671181,-26.75548852019441,60.474716202270386
K19_to_K20,Center_Left,1183,-2.5095180490460267,-1.9780552657264963,4.731365221921791,6.696659593345848,-49.93842364532019,46.875
K19_to_K20,Haredi,1183,-4.917407836391069,-2.7649769585253456,5.058676908860608,6.57673858174761,-55.72755417956655,22.894960574791202
K19_to_K20,Right,1183,6.779107832970634,5.144906323185012,7.915099473829864,8.800327454945402,-52.08333333333333,48.86337004921491
K20_to_K21,Arab,1193,-1.6457992717911918,0.0,1.9481434941099252,6.603660206735075,-54.64285714285714,18.92411572687029
K20_to_K21,Center_Left,1193,3.904975541601728,2.5573291366906474,4.82875180533175,6.783288407477171,-33.60993948285348,50.0
K20_to_K21,Haredi,1193,0.11376178721849588,0.0,1.4933338452746538,3.3695758779783893,-23.79182156133829,34.44444444444444
K20_to_K21,Right,1193,-2.3729380570290317,-2.099984596690007,4.168211628821944,5.7087651053824775,-59.16666666666666,34.50394278378873
K21_to_K22,Arab,1212,1.4743208263459826,0.0,1.6049793266149668,5.441871175269776,-13.443223443223445,50.90909090909091
K21_to_K22,Center_Left,1212,1.6237502676715756,1.9860445910246867,4.000129500685068,5.894291864832067,-47.82608695652174,31.45092460881934
K21_to_K22,Haredi,1212,1.2378707146740544,0.5361930294906166,1.9517819053410048,4.047970579707472,-40.0,51.06837606837607
K21_to_K22,Right,1212,-4.335941808691613,-3.6096482323846537,4.6857078928830225,4.8989116381128746,-51.068376068376075,62.60869565217391
K22_to_K23,Arab,1213,1.2202168002608667,0.0869563898921346,1.288562132448603,3.7248167362559377,-14.333080712391052,39.10308741747254
K22_to_K23,Center_Left,1213,-3.3323137560469753,-2.6932144321443214,3.57238952261177,3.8760654790469227,-33.8150289017341,14.720406681191001
K22_to_K23,Haredi,1213,0.3056326101139706,0.010976345974425095,0.9847834503859826,2.009566960690193,-16.98765432098765,21.623609679826586
K22_to_K23,Right,1213,1.8064643456721383,1.6328293736501074,2.791765693750393,3.469012188451881,-21.443090153157314,27.032911183082668
K23_to_K24,Arab,1211,-1.146073592927456,-0.1480916397814479,1.2658584162539035,3.694982556770271,-47.5206779937253,14.556838905775066
K23_to_K24,Center_Left,1211,-3.1447657929963624,-2.7481819719262646,3.9567968077788795,4.496271408795796,-37.76223776223776,20.197393369658503
K23_to_K24,Haredi,1211,-1.0535842202211654,-0.3557572351013807,1.5319570804846063,3.475151640489283,-55.51470588235294,15.858960314146971
K23_to_K24,Right,1211,5.344423606144984,4.48362655261888,5.5774985254487826,5.306296042976028,-12.378426171529625,55.530240265120135
K24_to_K25,Arab,1212,0.9609606792672857,0.003536441774494692,1.1108524878866446,3.596262911946337,-15.277777777777779,37.32997137794739
K24_to_K25,Center_Left,1212,3.072275146431238,2.607300360632806,3.9791767858258345,4.864812637560686,-27.17948717948718,47.27704869989326
K24_to_K25,Haredi,1212,0.6075610893063645,0.3275882398106832,1.1785340202208756,2.0831012696519022,-19.79075850043592,13.055555555555555
K24_to_K25,Right,1212,-4.640796915004889,-4.122044404279601,5.095941831317796,5.1940865909776885,-46.69490667175722,25.769230769230774
