feature,source_family,transform_type,identity_proxy,original_source_columns,source_years,development_coverage,development_unique_nonmissing,legacy_target_selected_feature,feature_sets,selection_method
demographic__אחוז_בני_4_0_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 4-0  באוכלוסייה בסוף 2015,2015,0.04361634554308702,86,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_9_5_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 9-5  באוכלוסייה בסוף 2015,2015,0.04361634554308702,82,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_14_10_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני  14-10 באוכלוסייה בסוף 2015,2015,0.04361634554308702,84,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_19_15_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 19-15  באוכלוסייה בסוף 2015,2015,0.04361634554308702,73,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_29_20_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 29-20 באוכלוסייה בסוף 2015,2015,0.04361634554308702,86,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_44_30_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 44-30  באוכלוסייה בסוף 2015,2015,0.04361634554308702,92,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_59_45_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 59-45  באוכלוסייה בסוף 2015,2015,0.04361634554308702,94,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_64_60_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 64-60  באוכלוסייה בסוף 2015,2015,0.04361634554308702,60,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_65_ומעלה_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 65 ומעלה  באוכלוסייה בסוף 2015,2015,0.04361634554308702,121,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_17_0_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 17-0  באוכלוסייה בסוף 2015,2015,0.04361634554308702,147,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_בני_75_ומעלה_באוכלוסייה_בסוף_2015__level,demographic,level,False,אחוז בני 75 ומעלה באוכלוסייה בסוף 2015,2015,0.04361634554308702,78,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__לידות_חי_2015__level,demographic,level,False,לידות חי 2015,2015,0.04361634554308702,191,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__פטירות_2015__level,demographic,level,False,פטירות 2015,2015,0.04361634554308702,123,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__ריבוי_טבעי_סה_כ_2015__level,demographic,level,False,"ריבוי טבעי - סה""כ 2015",2015,0.04361634554308702,175,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__ריבוי_טבעי_לאלף_תושבים_2015_2014__level,demographic,level,False,ריבוי טבעי  לאלף תושבים 2015-2014,2015,0.04361634554308702,134,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__מאזן_הגירה_סה_כ_2015__level,demographic,level,False,"מאזן הגירה - סה""כ 2015",2015,0.04361634554308702,161,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולי_1990_מסך_האוכלוסייה_2015__level,demographic,level,False,אחוז עולי 1990+ מסך האוכלוסייה 2015,2015,0.026783823840779167,107,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_גידול_האוכלוסייה_שנת_2015_לעומת_2014__level,demographic,level,False,אחוז גידול האוכלוסייה שנת 2015 לעומת 2014,2015,0.04361634554308702,58,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__פטירות_תינוקות_ממוצע_2015_2011__level,demographic,level,False,פטירות תינוקות (ממוצע 2015-2011),2015,0.03599407156468346,44,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__השתקעות_ראשונה_של_עולים_2015__level,demographic,level,False,השתקעות ראשונה של עולים 2015,2015,0.029112852000846918,79,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בני_17_0_בהשתקעות_ראשונה_2015__level,demographic,level,False,אחוז עולים בני 17-0 בהשתקעות ראשונה 2015,2015,0.02879525725174677,81,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בני_44_18_בהשתקעות_ראשונה_2015__level,demographic,level,False,אחוז עולים בני 44-18 בהשתקעות ראשונה 2015,2015,0.024454795680711412,88,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בני_64_45_בהשתקעות_ראשונה_2015__level,demographic,level,False,אחוז עולים בני 64-45 בהשתקעות ראשונה 2015,2015,0.02159644293881008,79,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בני_65_ומעלה_בהשתקעות_ראשונה_2015__level,demographic,level,False,אחוז עולים בני 65 ומעלה בהשתקעות ראשונה 2015,2015,0.023290281600677535,72,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__צפיפות_אוכלוסייה_לקמ_ר_ביישובים_שמנו_5_000_תושבים_ויותר__level,demographic,level,False,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר",2019|2020|2021|2022|2023,0.035676476815583315,333,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__סה_כ_אוכלוסייה_בסוף_השנה__level,demographic,level,False,"סה""כ  אוכלוסייה בסוף השנה",2019|2020|2021|2022|2023,0.041816641964852845,391,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__סה_כ_גברים_בסוף_השנה__level,demographic,level,False,"סה""כ גברים בסוף השנה",2019|2020|2021|2022|2023,0.041816641964852845,387,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__סה_כ_נשים_בסוף_השנה__level,demographic,level,False,"סה""כ נשים בסוף השנה",2019|2020|2021|2022|2023,0.041816641964852845,388,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_4_0__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 4-0,2019|2020|2021|2022|2023,0.041816641964852845,246,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_9_5__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 9-5,2019|2020|2021|2022|2023,0.041816641964852845,224,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_14_10__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 14-10,2019|2020|2021|2022|2023,0.041816641964852845,223,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_19_15__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 19-15,2019|2020|2021|2022|2023,0.041816641964852845,218,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_29_20__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 29-20,2019|2020|2021|2022|2023,0.041816641964852845,326,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_44_30__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 44-30,2019|2020|2021|2022|2023,0.041816641964852845,322,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_59_45__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 59-45,2019|2020|2021|2022|2023,0.041816641964852845,326,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_64_60__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 64-60,2019|2020|2021|2022|2023,0.041816641964852845,189,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_65_ומעלה__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,2019|2020|2021|2022|2023,0.041816641964852845,304,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_17_0__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 17-0,2019|2020|2021|2022|2023,0.041816641964852845,312,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_75_ומעלה__level,demographic,level,False,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,2019|2020|2021|2022|2023,0.041816641964852845,244,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יחס_תלות_ל_1_000_תושבים_בלתי_תלויים__level,demographic,level,False,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",2019|2020|2021|2022|2023,0.041816641964852845,346,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__שיעור_פריון_כולל__level,demographic,level,False,שיעור פריון כולל,2019|2020|2021|2022|2023,0.029324581833580353,148,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__פטירות_תינוקות_ממוצע__level,demographic,level,False,פטירות תינוקות (ממוצע),2019|2020|2021|2022|2023,0.03525301715011645,50,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__שיעור_פטירות_מתוקנן_ל_1_000_תושבים__level,demographic,level,False,"שיעור פטירות מתוקנן ל-1,000 תושבים",2019|2020|2021|2022|2023,0.040546262968452255,215,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__ריבוי_טבעי_ל_1_000_תושבים__level,demographic,level,False,"ריבוי טבעי  ל-1,000 תושבים",2019|2020|2021|2022|2023,0.041816641964852845,355,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_גידול_האוכלוסייה_לעומת_השנה_הקודמת__level,demographic,level,False,אחוז גידול האוכלוסייה לעומת השנה הקודמת,2019|2020|2021|2022|2023,0.041816641964852845,259,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_17_0__level,demographic,level,False,אחוז עולים בהשתקעות ראשונה בני 17-0,2019|2020|2021|2022|2023,0.030806690662714378,158,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_44_18__level,demographic,level,False,אחוז עולים בהשתקעות ראשונה בני 44-18,2019|2020|2021|2022|2023,0.031971204742748255,152,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_64_45__level,demographic,level,False,אחוז עולים בהשתקעות ראשונה בני 64-45,2019|2020|2021|2022|2023,0.03207706965911497,152,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__אחוז_עולים_בהשתקעות_ראשונה_בני_65_ומעלה__level,demographic,level,False,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,2019|2020|2021|2022|2023,0.03207706965911497,134,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__מאזן_הגירה_ביישוב_סה_כ__level,demographic,level,False,"מאזן הגירה ביישוב
סה""כ",2019|2020|2021|2022|2023,0.041604912132119413,286,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__מאזן_הגירה_פנימית__level,demographic,level,False,מאזן הגירה פנימית,2019|2020|2021|2022|2023,0.041075587550285834,275,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_סה_כ__level,demographic,level,False,"נכנסים מיישובים אחרים סה""כ",2019|2020|2021|2022|2023,0.041287317383019266,322,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_גברים__level,demographic,level,False,נכנסים מיישובים אחרים גברים,2019|2020|2021|2022|2023,0.041075587550285834,269,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_נשים__level,demographic,level,False,נכנסים מיישובים אחרים נשים,2019|2020|2021|2022|2023,0.041287317383019266,298,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_עד_גיל_14__level,demographic,level,False,נכנסים מיישובים אחרים עד גיל 14,2019|2020|2021|2022|2023,0.0408638577175524,256,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_גיל_29_15__level,demographic,level,False,נכנסים מיישובים אחרים גיל 29-15,2019|2020|2021|2022|2023,0.04096972263391912,244,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_גיל_64_30__level,demographic,level,False,נכנסים מיישובים אחרים גיל 64-30,2019|2020|2021|2022|2023,0.041075587550285834,258,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נכנסים_מיישובים_אחרים_גיל_65_ומעלה__level,demographic,level,False,נכנסים מיישובים אחרים גיל 65 ומעלה,2019|2020|2021|2022|2023,0.028689392335380055,133,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_סה_כ__level,demographic,level,False,"יוצאים ליישובים אחרים סה""כ",2019|2020|2021|2022|2023,0.041816641964852845,327,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_גברים__level,demographic,level,False,יוצאים ליישובים אחרים גברים,2019|2020|2021|2022|2023,0.04118145246665255,274,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_נשים__level,demographic,level,False,יוצאים ליישובים אחרים נשים,2019|2020|2021|2022|2023,0.0414990472157527,290,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_עד_גיל_14__level,demographic,level,False,יוצאים ליישובים אחרים עד גיל 14,2019|2020|2021|2022|2023,0.04065212788481897,247,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_גיל_29_15__level,demographic,level,False,יוצאים ליישובים אחרים גיל 29-15,2019|2020|2021|2022|2023,0.0414990472157527,254,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_גיל_64_30__level,demographic,level,False,יוצאים ליישובים אחרים גיל 64-30,2019|2020|2021|2022|2023,0.041075587550285834,255,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__יוצאים_ליישובים_אחרים_גיל_65_ומעלה__level,demographic,level,False,יוצאים ליישובים אחרים גיל 65 ומעלה,2019|2020|2021|2022|2023,0.028901122168113486,137,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__הגירה_בתוך_הרשות_המקומית__level,demographic,level,False,הגירה בתוך הרשות המקומית,2019|2020|2021|2022|2023,0.03662926106288376,278,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נישאים_סה_כ_גברים_ונשים__level,demographic,level,False,"נישאים סה""כ גברים ונשים",2019|2020|2021|2022|2023,0.041604912132119413,295,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__נישאים_שיעור_ל_1_000_תושבים_לא_נשואים_בני_15_ומעלה__level,demographic,level,False,"נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",2019|2020|2021|2022|2023,0.041604912132119413,283,True,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__מתגרשים_סה_כ_גברים_ונשים__level,demographic,level,False,"מתגרשים סה""כ גברים ונשים",2019|2020|2021|2022|2023,0.04139318229938598,184,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__מתגרשים_שיעור_ל_1_000_תושבים_נשואים_בני_15_ומעלה__level,demographic,level,False,"מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה",2019|2020|2021|2022|2023,0.0408638577175524,123,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_כלל_השכירים__level,income,level,False,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",2003|2006|2009|2013|2015|2019|2020,0.1885454160491213,1494,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_גברים__level,income,level,False,"שכר ממוצע לחודש של שכירים (ש""ח) גברים",2003|2006|2009|2013|2015|2019|2020,0.1885454160491213,1490,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_נשים__level,income,level,False,"שכר ממוצע לחודש של שכירים (ש""ח) נשים",2003|2006|2009|2013|2015|2019|2020,0.1885454160491213,1474,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_כלל_השכירים__level,income,level,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים כלל השכירים,2003|2006|2009|2013|2015|2019,0.16779589244124496,641,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_גברים__level,income,level,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים גברים,2003|2006|2009|2013|2015|2019,0.16758416260851153,649,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_לעומת_השנה_הקודמת_של_שכר_ממוצע_לחודש_של_שכירים_נשים__level,income,level,False,אחוז שינוי ריאלי לעומת השנה הקודמת של שכר ממוצע לחודש של שכירים נשים,2003|2006|2009|2013|2015|2019,0.16779589244124496,663,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__מספר_השכירים__level,income,level,False,מספר השכירים,2003|2006|2009|2013|2015|2019,0.16769002752487824,1249,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_השכירים_המשתכרים_עד_שכר_מינימום__level,income,level,False,אחוז השכירים המשתכרים עד שכר מינימום,2003|2006|2009|2013|2015|2019,0.16769002752487824,396,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__מספר_העצמאים__level,income,level,False,מספר העצמאים,2003|2006|2009|2013|2015|2019,0.16769002752487824,862,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__הכנסה_ממוצעת_לחודש_של_העצמאים_ש_ח__level,income,level,False,"הכנסה ממוצעת לחודש של העצמאים (ש""ח)",2003|2006|2009|2013|2015|2019,0.1680076222739784,1301,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_של_הכנסה_ממוצעת_לחודש_של_העצמאים_לעומת_השנה_הקודמת__level,income,level,False,אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,2003|2006|2009|2013|2015|2019,0.16779589244124496,680,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_העצמאים_המשתכרים_עד_מחצית_השכר_הממוצע__level,income,level,False,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,2003|2006|2009|2013|2015|2019,0.1680076222739784,373,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__מדד_אי_השוויון_שכירים_מדד_ג_יני_0_שוויון_מלא__level,income,level,False,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)",2003|2006|2009|2013|2015|2019,0.1680076222739784,37,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_דמי_אבטלה_ממוצע_חודשי_סה_כ__level,unemployment,level,False,"מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.1923565530383231,683,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_דמי_אבטלה_ממוצע_חודשי_גברים__level,unemployment,level,False,"מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.19182722845648953,496,False,history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
