feature,source_family,transform_type,identity_proxy,original_source_columns,source_years,development_coverage,development_unique_nonmissing,legacy_target_selected_feature,feature_sets,selection_method
income__הכנסה_ממוצעת_לחודש_של_העצמאים_ש_ח__annualized_change,income,annualized_change,False,"הכנסה ממוצעת לחודש של העצמאים (ש""ח)",2003|2006|2009|2013|2015|2019,0.1436586915096337,1061,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_שינוי_ריאלי_של_הכנסה_ממוצעת_לחודש_של_העצמאים_לעומת_השנה_הקודמת__annualized_change,income,annualized_change,False,אחוז שינוי ריאלי של הכנסה ממוצעת לחודש של העצמאים לעומת השנה הקודמת,2003|2006|2009|2013|2015|2019,0.14334109676053355,951,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__אחוז_העצמאים_המשתכרים_עד_מחצית_השכר_הממוצע__annualized_change,income,annualized_change,False,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,2003|2006|2009|2013|2015|2019,0.1436586915096337,563,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__מדד_אי_השוויון_שכירים_מדד_ג_יני_0_שוויון_מלא__annualized_change,income,annualized_change,False,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)",2003|2006|2009|2013|2015|2019,0.1436586915096337,50,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_דמי_אבטלה_ממוצע_חודשי_סה_כ__annualized_change,unemployment,annualized_change,False,"מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16483167478297692,567,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_דמי_אבטלה_ממוצע_חודשי_גברים__annualized_change,unemployment,annualized_change,False,"מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16377302561930976,478,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__גיל_ממוצע_של_מקבלי_דמי_אבטלה_לא_כולל_חיילים__annualized_change,unemployment,annualized_change,False,"גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים)",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16567859411391064,356,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__דמי_אבטלה_ממוצעים_ליום_ש_ח__annualized_change,unemployment,annualized_change,False,"דמי אבטלה ממוצעים ליום
(ש""ח)",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16567859411391064,455,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_קצבאות_זקנה_ושאירים_סה_כ_סוף_שנה__annualized_change,unemployment,annualized_change,False,"מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16303197120474275,662,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__אחוז_מקבלי_השלמת_הכנסה_מבין_מקבלי_קצבאות_זקנה_ושאירים_סוף_שנה__annualized_change,unemployment,annualized_change,False,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה),2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16303197120474275,962,True,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_גמלת_הבטחת_הכנסה_נפשות_במשך_השנה__annualized_change,unemployment,annualized_change,False,"מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.15509210247723904,764,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_גמלאות_סיעוד_סוף_שנה__annualized_change,unemployment,annualized_change,False,מקבלי גמלאות סיעוד (סוף שנה),2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16239678170654245,496,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_גמלאות_נכות_כללית_סוף_שנה__annualized_change,unemployment,annualized_change,False,מקבלי גמלאות נכות כללית (סוף שנה),2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16313783612110946,442,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_גמלאות_ניידות_סוף_שנה__annualized_change,unemployment,annualized_change,False,מקבלי גמלאות ניידות (סוף שנה),2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16303197120474275,186,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מקבלי_גמלאות_נכות_מעבודה_ותלויים_סוף_שנה__annualized_change,unemployment,annualized_change,False,מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה),2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16154986237560873,196,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_כללית__annualized_change,unemployment,annualized_change,False,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16282024137200932,411,True,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_מכבי__annualized_change,unemployment,annualized_change,False,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16239678170654245,408,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_מאוחדת__annualized_change,unemployment,annualized_change,True,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16218505187380902,404,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_לאומית__annualized_change,unemployment,annualized_change,False,"אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16176159220834216,394,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_משפחות_של_מקבלי_קצבאות_בגין_ילדים_סוף_שנה_סה_כ__annualized_change,unemployment,annualized_change,False,"מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16366716070294304,686,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_משפחות_של_מקבלי_קצבאות_בגין_ילדים_סוף_שנה_עם_2_1_ילדים_במשפחה__annualized_change,unemployment,annualized_change,False,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16366716070294304,616,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_משפחות_של_מקבלי_קצבאות_בגין_ילדים_סוף_שנה_עם_4_3_ילדים_במשפחה__annualized_change,unemployment,annualized_change,False,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16366716070294304,554,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_משפחות_של_מקבלי_קצבאות_בגין_ילדים_סוף_שנה_עם_5_ילדים_ויותר_במשפחה__annualized_change,unemployment,annualized_change,False,מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.15847977980097397,345,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_ילדים_שבגינם_שולמו_קצבאות_סה_כ__annualized_change,unemployment,annualized_change,False,"מספר ילדים שבגינם שולמו קצבאות סה""כ",2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16366716070294304,940,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_ילדים_שבגינם_שולמו_קצבאות_במשפחות_עם_2_1_ילדים__annualized_change,unemployment,annualized_change,False,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16366716070294304,750,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_ילדים_שבגינם_שולמו_קצבאות_במשפחות_עם_4_3_ילדים__annualized_change,unemployment,annualized_change,False,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16366716070294304,908,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__מספר_ילדים_שבגינם_שולמו_קצבאות_במשפחות_עם_5_ילדים_ויותר__annualized_change,unemployment,annualized_change,False,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,2003|2006|2009|2013|2015|2019|2020|2021|2022|2023,0.16356129578657633,734,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__snapshot_age_years,demographic,snapshot_recency,False,,,0.17308913825958078,10,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
demographic__snapshot_interval_years,demographic,snapshot_interval,False,,,0.1475756934152022,5,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__snapshot_age_years,income,snapshot_recency,False,,,0.19013338979462205,15,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
income__snapshot_interval_years,income,snapshot_interval,False,,,0.16578445903027736,4,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__snapshot_age_years,unemployment,snapshot_recency,False,,,0.19256828287105654,14,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
unemployment__snapshot_interval_years,unemployment,snapshot_interval,False,,,0.16567859411391064,4,False,history_plus_dynamic_socio|history_plus_nonidentity_levels_and_dynamic|history_plus_all_socio_sensitivity|history_plus_locality_identity_diagnostic,target_blind_development_coverage_and_variance
