check,passed,value,requirement
all_elections_16_to_25_present,True,"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",Exactly elections 16 through 25
no_duplicate_locality_election_rows,True,0,0
at_least_1000_localities_per_election,True,1149,>= 1000
four_bloc_targets_sum_to_100,True,2.842170943040401e-14,<= 1e-8
bloc_counts_plus_other_equal_valid_votes,True,0.0,<= 0.5 vote
no_single_unmapped_party_above_2_pct,True,1.386261605287702,<= 2.0%
minimum_90_pct_total_mapping_coverage,True,96.03395383309157,>= 90.0%
k17_no_unresolved_regular_localities,True,0,0
raw_party_columns_equal_valid_votes,True,0.0,<= 0.5 vote
