strategy,rows,mae,median_row_mae,weighted_mae,macro_r2,maximum_prediction_sum_error,absolute_mae_improvement_vs_persistence,relative_mae_improvement_vs_persistence_pct
Ridge — globally shrunk correction,673,2.151236563316773,1.396040187404095,1.7214950766422685,0.9764372985321599,2.842170943040401e-14,1.127953877489254,34.397327567593244
Ridge — raw correction,673,2.173635841276559,1.3882870204249529,1.7810254275631967,0.9757112870883977,2.842170943040401e-14,1.105554599529468,33.71425415773419
Hybrid — shrunk Ridge Non-Arab / persistence Arab,673,2.6238918792173846,1.620770268362096,1.860339574648343,0.9663825208347248,2.842170943040401e-14,0.6552985615886424,19.983546958241607
Hybrid — Ridge Non-Arab / persistence Arab,673,2.6685270175672233,1.6659944254587826,1.926728951906231,0.9654175485404458,2.842170943040401e-14,0.6106634232388037,18.62238361150816
Previous-election persistence,673,3.279190440806027,2.495674724437591,2.6075857748018874,0.9599843553995118,2.842170943040401e-14,0.0,0.0
