,count,mean,std,min,25%,50%,75%,max
delta_Right_pct,4851.0,-0.4565249974325167,6.371073197387015,-51.068376068376075,-4.062301523477475,-0.44444444444444997,3.203816806166002,62.60869565217391
delta_Center_Left_pct,4851.0,-0.4456363603111658,5.608268280020186,-47.82608695652174,-3.160445076492463,-0.3436570135367276,2.4873681308851716,47.27704869989326
delta_Haredi_pct,4851.0,0.2745325670209481,3.1462723652016087,-55.51470588235294,-0.25751626428172814,0.0339583797608054,0.8541996884915253,51.06837606837607
delta_Arab_pct,4851.0,0.6276287907227344,4.310222172973281,-47.5206779937253,0.0,0.0,0.28227830335988646,50.90909090909091
