target_election,year,original_valid_votes,merged_valid_votes,coverage_pct,merged_localities
Knesset_21,2019,4309270,3631220,84.26531639929733,225
Knesset_22,2019,4436806,3709264,83.60212278833016,225
Knesset_23,2020,4590062,3803730,82.86881527961931,224
Knesset_24,2021,4410052,3540457,80.28152502510174,224
Knesset_25,2022,4764742,3844524,80.68692911389536,226
