locality_symbol,שם יישוב,year,target_election,valid_votes,Other_raw_pct,Right_pct,Center_Left_pct,Haredi_pct,Arab_pct,אחוז עולי + מסך האוכלוסייה,אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים,אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד,מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,"מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה)","אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",avg_monthly_wage,עובדי הוראה ממוצע תלמידים למורה,אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,"ריבוי טבעי ל-1,000 תושבים",אחוז באוכלוסייה בסוף השנה בני 44-30,גיל ממוצע של מקבלי דמי אבטלה (לא כולל חיילים),עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,שיעור פריון כולל,"יחס תלות (ל-1,000 תושבים בלתי תלויים)","מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה)",עובדי הוראה ממוצע שעות עבודה לשבוע,אחוז באוכלוסייה בסוף השנה בני 9-5,מוסלמים (אחוזים מתוך האוכלוסייה הערבית),ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),ממוצע תלמידים לכיתה בבתי ספר יסודיים,type_Arab/Non-Jewish,type_Cities,type_Kibbutzim,type_Moshavim,type_other,type_Druze_Majority
1031,שדרות,2021,Knesset_24,12701,0.7637193921738445,76.77721358298952,10.956839098698826,12.08346556648683,0.1824817518248175,21.51,32.82,82.52,3.69,1401,20.54,3059,56.7,9804.21,8.61,11.8,67.48,21.47,21.03,39.0,36.82,3.54,765.0,1316,31.1,9.46,,,99.3,24.2,0,1,0,0,0,0
1031,שדרות,2022,Knesset_25,15242,1.4499409526308884,73.03108980760268,13.514413154916449,13.228147260501965,0.2263497769788962,21.2,34.26,80.38,3.61,1494,22.7,3170,57.2,10771.57,8.96,11.7,65.82,19.89,21.36,39.63,38.81,3.29,769.0,1214,31.62,9.6,,,99.3,23.87,0,1,0,0,0,0
1034,קריית מלאכי,2019,Knesset_21,11186,2.3243339889147148,72.3137470254439,9.427054731832326,18.076148636280436,0.1830496064433461,13.8,28.9,65.2,3.16,2063,12.15,2450,62.3,7396.29,9.77,11.5,54.86,18.17,20.45,38.0,36.03,3.39,1001.2,1213,30.5,11.1,100.0,0.5,99.5,23.56,0,1,0,0,0,0
1034,קריית מלאכי,2019,Knesset_22,11465,7.710423026602704,54.7301767318779,17.210093563935356,27.993573386258387,0.0661563179283621,13.8,28.9,65.2,3.16,2063,12.15,2450,62.3,7396.29,9.77,11.5,54.86,18.17,20.45,38.0,36.03,3.39,1001.2,1213,30.5,11.1,100.0,0.5,99.5,23.56,0,1,0,0,0,0
1034,קריית מלאכי,2020,Knesset_23,11862,2.0232675771370765,60.084322836000695,10.867320598864223,28.996730339012217,0.0516262261228704,14.3,27.25,65.38,3.55,2105,13.2,2565,62.8,7503.654968484942,8.76,12.08,54.9,18.01,19.11,38.19,36.56,3.17,891.0,1211,30.9,10.68,,,99.7,23.89,0,1,0,0,0,0
1034,קריית מלאכי,2021,Knesset_24,10846,0.9404388714733544,68.89426656738645,8.665301563663439,22.375279225614296,0.0651526433358153,14.16,25.76,71.43,3.51,2223,13.66,2651,63.1,8255.46,9.01,12.11,58.36,20.85,19.36,38.0,37.29,3.69,916.0,1351,31.2,10.8,,,99.7,23.73,0,1,0,0,0,0
1034,קריית מלאכי,2022,Knesset_25,12591,1.2072115002779764,66.14679636626738,8.545703030790257,25.24318675134657,0.0643138515957874,13.9,26.09,69.69,3.57,2242,14.3,2748,63.8,8738.0,8.92,11.7,55.24,19.08,19.65,38.21,40.7,3.37,941.0,1144,31.6,10.9,,,99.5,23.6,0,1,0,0,0,0
1054,תל שבע,2019,Knesset_21,2841,1.4431538190777895,2.178571428571429,8.5,0.8571428571428572,88.46428571428572,0.3,57.86,40.58,3.24,6111,7.39,477,92.5,5288.02,10.36,16.5,23.06,31.54,15.2,36.0,19.73,4.43,1298.8,3957,33.3,14.3,100.0,99.8,0.2,26.41,1,0,0,0,0,0
1054,תל שבע,2019,Knesset_22,5160,0.813953488372093,0.9183274716686204,2.696365767878077,0.214927706135209,96.17037905431808,0.3,57.86,40.58,3.24,6111,7.39,477,92.5,5288.02,10.36,16.5,23.06,31.54,15.2,36.0,19.73,4.43,1298.8,3957,33.3,14.3,100.0,99.8,0.2,26.41,1,0,0,0,0,0
1054,תל שבע,2020,Knesset_23,5531,0.6147170493581631,0.4729852646898308,0.909587047480444,0.1273421866472621,98.49008550118246,0.0,55.29,53.03,3.24,6014,7.9,501,92.4,5662.973094170404,10.38,17.02,31.24,33.76,13.89,33.75,57.27,4.87,1481.0,3892,33.2,14.67,100.0,99.8,,26.89,1,0,0,0,0,0
